iter	RMSE
0	13.99033482
1	13.09602022
2	12.26800368
3	11.52753534
4	10.98492687
5	10.4515562
6	9.946681472
7	9.49514403
8	9.071284208
9	8.643785208
10	8.301922239
11	7.992506093
12	7.728031687
13	7.469154208
14	7.221701686
15	6.994125266
16	6.8101681
17	6.644072135
18	6.494633537
19	6.382881093
20	6.280460393
21	6.187118565
22	6.090376245
23	5.99524317
24	5.925632386
25	5.868448885
26	5.791192565
27	5.734789171
28	5.692946781
29	5.627512606
30	5.582662364
31	5.539402751
32	5.502208084
33	5.468468615
34	5.432823921
35	5.398232128
36	5.371030293
37	5.351855905
38	5.329794424
39	5.307254952
40	5.288155967
41	5.27231549
42	5.256062213
43	5.24696607
44	5.217520686
45	5.191234153
46	5.180592451
47	5.168219807
48	5.154260801
49	5.141737649
50	5.125091811
51	5.102280854
52	5.087061307
53	5.08494137
54	5.074522582
55	5.063003008
56	5.045191901
57	5.039824939
58	5.030496999
59	5.02072446
60	5.019778925
61	5.011364642
62	4.992304643
63	4.981652472
64	4.970447203
65	4.960302387
66	4.950945286
67	4.935273017
68	4.926076931
69	4.916500044
70	4.909681759
71	4.905638345
72	4.899587149
73	4.890518004
74	4.878175677
75	4.865228629
76	4.844400652
77	4.834535972
78	4.823968505
79	4.814940227
80	4.809322417
81	4.803651109
82	4.791562269
83	4.78468045
84	4.780206565
85	4.766597385
86	4.755317068
87	4.743754565
88	4.739561992
89	4.730367068
90	4.720216428
91	4.712873701
92	4.702852799
93	4.696818752
94	4.688962448
95	4.684981206
96	4.683505989
97	4.674686654
98	4.669328844
99	4.661036595
