iter	Passed	Remaining
0	145	145563
1	149	74459
2	155	51800
3	161	40138
4	166	33091
5	171	28447
6	178	25338
7	181	22459
8	185	20415
9	190	18823
10	191	17242
11	194	15992
12	195	14852
13	198	13956
14	199	13117
15	200	12354
16	201	11677
17	203	11078
18	204	10554
19	205	10073
20	206	9639
21	209	9318
22	211	8975
23	212	8639
24	213	8331
25	214	8044
26	216	7787
27	217	7541
28	218	7310
29	220	7138
30	222	6969
31	224	6778
32	225	6599
33	226	6439
34	227	6279
35	228	6129
36	229	5984
37	232	5874
38	234	5782
39	236	5667
40	238	5578
41	240	5474
42	241	5367
43	242	5264
44	244	5193
45	246	5106
46	247	5020
47	249	4945
48	250	4867
49	252	4794
50	254	4732
51	257	4693
52	259	4629
53	260	4561
54	261	4493
55	262	4428
56	263	4365
57	265	4311
58	267	4259
59	269	4223
60	271	4174
61	272	4120
62	273	4068
63	274	4016
64	276	3972
65	277	3925
66	281	3916
67	282	3878
68	284	3840
69	285	3798
70	287	3755
71	288	3716
72	291	3698
73	293	3668
74	294	3632
75	295	3594
76	296	3556
77	297	3522
78	299	3493
79	301	3467
80	303	3444
81	304	3414
82	306	3381
83	307	3349
84	308	3318
85	309	3291
86	310	3262
87	312	3236
88	315	3234
89	317	3212
90	318	3185
91	320	3159
92	321	3134
93	322	3106
94	323	3081
95	324	3057
96	327	3048
97	329	3028
98	330	3005
99	331	2982
100	332	2962
101	334	2943
102	335	2924
103	337	2903
104	339	2892
105	341	2876
106	342	2856
107	343	2835
108	344	2815
109	345	2799
110	346	2775
111	347	2757
112	348	2739
113	351	2728
114	352	2710
115	353	2692
116	354	2674
117	355	2658
118	357	2645
119	358	2628
120	359	2611
121	361	2599
122	363	2590
123	364	2574
124	365	2559
125	367	2545
126	368	2534
127	369	2519
128	371	2505
129	373	2497
130	375	2488
131	376	2474
132	377	2463
133	379	2451
134	380	2441
135	382	2427
136	383	2416
137	385	2408
138	387	2400
139	389	2390
140	390	2377
141	391	2367
142	393	2355
143	394	2345
144	395	2333
145	398	2328
146	399	2319
147	400	2307
148	402	2296
149	403	2285
150	404	2275
151	405	2264
152	407	2254
153	412	2264
154	413	2253
155	414	2244
156	416	2234
157	417	2225
158	418	2215
159	420	2210
160	422	2204
161	424	2194
162	425	2184
163	426	2175
164	428	2166
165	429	2156
166	430	2146
167	432	2141
168	434	2138
169	436	2129
170	437	2121
171	438	2112
172	440	2103
173	441	2094
174	442	2084
175	444	2079
176	446	2077
177	447	2068
178	449	2060
179	450	2051
180	451	2044
181	453	2038
182	455	2033
183	458	2034
184	460	2026
185	461	2020
186	463	2013
187	464	2006
188	466	1999
189	470	2005
190	472	1999
191	473	1992
192	474	1985
193	476	1977
194	477	1970
195	478	1962
196	480	1958
197	482	1953
198	483	1945
199	484	1938
200	486	1932
201	487	1926
202	488	1919
203	491	1918
204	493	1915
205	494	1907
206	495	1899
207	497	1893
208	498	1886
209	499	1880
210	500	1872
211	502	1867
212	504	1864
213	505	1858
214	507	1851
215	508	1845
216	509	1840
217	511	1833
218	512	1826
219	513	1821
220	515	1818
221	517	1812
222	518	1805
223	519	1799
224	520	1793
225	521	1787
226	522	1780
227	524	1774
228	525	1770
229	527	1766
230	528	1760
